language,phone_dur_uttr_med,model.x,density_area,derivative_v_w_area,derivative_c_w_area,delta_deriv_w_area,phone_dur_v_w_area,phone_dur_c_w_area,eff_size_dw,derivative_v_dw,derivative_c_dw,phone_dur_v_dw,phone_dur_c_dw,phone_dur_uttr,model.y,derivative_c,derivative_v,eff_size_med,phone_dur_v,phone_dur_c
Beja,0.07982608695652167,cv_mod_type,21.728334860758338,20.45649142092886,16.960955326228706,3.4955360947001655,2.108476334153965,1.494187969279309,0.16087455007945178,0.9414661340604409,0.7805915839809896,0.09703810014277262,0.06876679593049867,0.07982608695652167,cv_mod_type,0.7573538672778213,0.9205954824786922,0.16324161520087088,0.0966499005195064,0.0681244658144061
Dolgan,0.07919444444444441,cv_mod_type,18.474397457516766,19.00039260740497,16.066656273200888,2.9337363342040788,1.7811805973555181,1.460279195180761,0.158800109229566,1.0284715726776892,0.869671463448123,0.09641346092350096,0.07904340038904004,0.07919444444444441,cv_mod_type,0.8685111391901756,1.0194987131426636,0.15098757395248796,0.09573894828445992,0.07856555174651611
Gubeeher,0.06458333333333262,cv_mod_type,18.52383354380577,18.658853944859615,15.775510136868872,2.8833438079907503,1.5771532719699912,1.1125733514954013,0.15565589062178323,1.007289009628301,0.8516331190065181,0.08514184001061591,0.060061722583737924,0.06458333333333262,cv_mod_type,0.8768035711681499,0.9988977342731964,0.1220941631050465,0.08371494202349827,0.05879422744190989
Evenki,0.081155172413793,cv_mod_type,18.972487804113,19.478106335950915,16.605942706830632,2.8721636291202945,1.8277132717689781,1.545714015759047,0.15138571487170202,1.026650091282615,0.8752643764109137,0.09633492932712559,0.08147134059160946,0.081155172413793,cv_mod_type,0.8562980577289103,1.0138763924563143,0.157578334727404,0.09518999611896259,0.08108912843834858
Svan,0.07960784313725494,cv_mod_type,25.145783247681685,26.494884551139542,22.731602580435506,3.76328197070404,2.8300565261027506,1.7297172294650844,0.1496585703311109,1.0536511943242903,0.9039926239931797,0.11254596837279537,0.06878756618665102,0.07960784313725494,cv_mod_type,0.9291747210173895,1.020509993922225,0.09133527290483556,0.11085765649169359,0.06754195524385653
Resigaro,0.09364285714285696,cv_mod_type,29.504830863911792,28.88478312019685,25.505738955898977,3.379044164297878,3.194506762088174,2.7996608628181083,0.11452511556102103,0.978984873813551,0.8644597582525301,0.1082706346232768,0.094888219347241,0.09364285714285696,cv_mod_type,0.7781923161265247,1.0135181034964802,0.23532578736995546,0.10797812384571619,0.09425810478365897
Arapaho,0.08819999999999709,cv_mod_type,21.012055908053643,18.764209294729287,16.448049847849884,2.3161594468794027,2.3148832017059098,1.5984286496880278,0.11023002494447244,0.8930211006880681,0.7827910757435955,0.11016928623432064,0.0760719777580342,0.08819999999999709,cv_mod_type,0.8250617044582853,0.9013333115732713,0.07627160711498604,0.11028383567481727,0.07583644663551677
Bora,0.08342857142856917,cv_mod_type,29.97359911749276,28.665125604970758,25.452627353916792,3.2124982510539817,2.8770499802673313,2.5420849300070176,0.10717759447110073,0.9563457992684512,0.849168204797351,0.09598613663276322,0.08481080033273157,0.08342857142856917,cv_mod_type,0.9108159782345027,0.8839944933405341,-0.026821484893968517,0.09726162337735599,0.08435727133015208
Sanzhi_Dargwa,0.08172131147540972,cv_mod_type,18.495298767787748,18.860795483948582,16.98528024105751,1.8755152428910753,1.8253421507044685,1.4540059768720952,0.10140497141671254,1.0197616010830493,0.9183566296663369,0.09869222301418387,0.07861489533786056,0.08172131147540972,cv_mod_type,0.9232153674938459,0.9907453834867574,0.06753001599291153,0.10291892090206795,0.08067805978870314
Nuu,0.0890909090909088,cv_mod_type,25.778392530670256,26.3983799777899,24.093185684442496,2.3051942933473963,3.182188171014813,2.106629546329084,0.08942350810294918,1.024050663608369,0.9346271555054195,0.12344401099598253,0.08172074902741464,0.0890909090909088,cv_mod_type,0.9428449885224843,1.0726683682151794,0.12982337969269508,0.1178245760171342,0.0791486489370389
Veraa,0.06339999999999986,cv_mod_type,15.849627423994606,16.006959281807095,14.735015082153595,1.2719441996534944,1.4038070147556068,0.9460151636199698,0.08025073180760764,1.0099265335142393,0.9296758017066312,0.08857034788277711,0.05968690230458074,0.06339999999999986,cv_mod_type,0.9310604566548086,1.01905538574254,0.08799492908773132,0.08682923381399377,0.05873954759964236
Fanbyak,0.0784722222222223,cv_mod_type,17.242294633080515,17.007531456123306,15.882114524691309,1.1254169314319886,1.8475833724741328,1.2533490613941283,0.06527071688432928,0.9863844585681305,0.9211137416838007,0.10715414692713918,0.07269038652137941,0.0784722222222223,cv_mod_type,0.8697632156127177,0.9983014636265608,0.12853824801384306,0.10556865205711338,0.07127099152168909
